"A41_T" "C115_T" "C24_T" "C99_T" "D36_T" "D65_T" "F20_T" "F44_T" "F69_T" "G30_T" "G80_T" "H11_T" "H17_T" "H35_T" "H46_T" "H4_T" "H63_T" "H78_T" "H85_T" "J106_T" "J111_T" "J32_T" "J38_T" "L103_T" "L112_T" "L113_T" "L28_T" "L3_T" "L50_T" "L52_T" "L60_T" "L61_T" "L64_T" "L68_T" "L6_T" "L75_T" "L90_T" "L95_T" "L97_T" "L9_T" "M72_T" "N39_T" "O31_T" "P1_T" "P21_T" "P88_T" "Q93_T" "R114_T" "R25_T" "R29_T" "R51_T" "R82_T" "S15_T" "S2_T" "S86_T" "S92_T" "T45_T" "W101_T" "W105_T" "W108_T" "W116_T" "W14_T" "W18_T" "W33_T" "W37_T" "W59_T" "W5_T" "W62_T" "W66_T" "W73_T" "X117_T" "X13_T" "X22_T" "X34_T" "X49_T" "X94_T" "Y10_T" "Y12_T" "Y19_T" "Y27_T" "Y48_T" "Y57_T" "Y7_T" "Y89_T" "Y8_T" "Z16_T" "Z23_T" "Z26_T" "Z43_T" "Z58_T" "Z76_T" "Z81_T" "Z84_T" "Z87_T" "Z96_T"
"17q" 0 0 0 0 0 0 -0.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.171 0 0.107 0 0 0 0 0 0 0 0 0 0 0 0 0 0.571 0 -0.111 0 0 0 0 0 0 -0.133 0 0 0 0 0 0 0 0 0 -0.218 0 0 0 0 0 0 0 -0.286 0 0 0 0 0 0 0 0 0 0.52 0 0 0 0 0 0 0.568 0
"18p" 0 0 0 0 0 0 -0.176 0 0 -0.256 0 0 0 0 0 0 0 0 0 0 0 -0.256 0 0 0 0.552 0 0 0 0.565 0 0 0 -0.404 0 0 0 0 0 0 0 0 0 0 0.187 0 0 0 -0.284 0 -0.185 -0.13 0 0 0 0 0 0 -0.143 0 0 0 0 0 0 0 0 -0.31 -0.213 0 0.128 0 0 -0.281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.455 0 0 0 0 -0.347
"18q" 0 0 0 0 0 0 -0.176 0 0 -0.256 0 0 0 0 0 0 0 0 0 0 0 -0.256 0 0 0 0.552 0 0 0 0.565 0 0 0 -0.404 0 0 0 0 0 0 0 0 0 0 0.187 0 0 0 -0.284 0 -0.185 -0.13 0 0 0 0 0 0 -0.143 0 0 0 0 0 0 0 0 -0.31 -0.213 0 0.128 0 0 -0.281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.455 0 0 0 0 -0.347
"19p" -0.161 0 -0.122 0 -0.18 0 0 -0.171 0 0 0 -0.139 -0.171 -0.193 -0.195 0 0.108 0 0 0 0 -0.117 -0.105 0 -0.142 0 -0.142 -0.146 -0.116 0 0 0 -0.102 0 0 0 0 0 0 -0.111 0 0 -0.132 0 0 0 0 -0.109 -0.111 0 0 -0.204 0 -0.106 0 0 0 0 0 -0.124 -0.141 0 -0.114 -0.134 -0.151 -0.133 -0.112 0 0 0 0 0 -0.15 0 -0.213 0 0 0 0 0 0 -0.125 0 0 0.377 -0.158 0 0 0 0 0 0 -0.143 -0.54 0
"19q" -0.161 0 -0.122 0 -0.17 0 0 -0.171 0 0 0 -0.139 -0.171 -0.193 -0.195 0 0.108 0 0 0 0 -0.117 -0.105 0 -0.142 0 -0.142 -0.146 -0.116 0 0 0 -0.102 0 0 0 0 0 0 -0.111 0 0 -0.132 0 0 0 0 -0.109 -0.111 0 0 -0.204 0 -0.106 0 0 0 0 0 0 -0.141 0 -0.114 -0.134 -0.151 -0.133 -0.112 0 0 0 0 0 -0.15 0 -0.213 0 0 0 0 0 0 -0.125 0 0 0.377 -0.158 0 0 0 0 0 0 -0.143 0 0
"20p" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.022 0 0 0 0 0 0 0 0 0 0 0.521 0 0 0 0 0 0 0 0 0.438 0 0 0 0 0 0 0.908 0 0 0 0 0 0 0 0 0.751 0 0.108 0 0 0 0 0 0.598 0 0 0 0 0 0 0 0 0.439 0 0 0 0 0 0.441 0 0 0 0.666 0 0 0 0 0 0 1.058 0 0.126 0 0 0.504 0 0 0 0 1.008
"20q" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.271 0 0 0 0 0 0 0 0 0 0 0.521 0 0 0 0 0 0 0 0 0.438 0 0 0 0 0 0 0.908 0 0 0 0 0 0 0 0 0.531 0 0.108 0 0 0 0 0 0.318 0 0 0 0 0 0 0 0 0.439 0 0 0 0 0 0.269 -0.122 0 0 0.666 0 0 0 0 0 0 1.058 0 0 0 0 0.504 0 0 0 0 1.008
"21p" 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.33 0 0 0 0 0 0 0 0 0 0 0 -0.5 0 0 0 0 0 0 0 -0.493 0 -0.122 0.392 0 0 0 0 0 0 0 -0.294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.251 0 0 0 0 0 0 0 -0.325 0 0 -0.461 0 0 0 0 0 -0.188 0 0 0 0 0 0 -0.105 0.59 0 -0.184 0 0 -0.483 0 0 0 0 0
"21q" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.5 0 0 0 0 0 0 0 0 0 -0.122 0.392 0 0 0 0 0 0 0 0.135 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.413 0 0 -0.188 0 0 0 0 0 0 -0.105 0.59 0 -0.184 0 0 0 0 0 0 0 0
"22p" -0.127 0 -0.107 0 -0.134 0 0 -0.139 0 0 0 -0.151 -0.125 -0.165 -0.236 -0.128 0 0 0 0 0 0 -0.104 0 0 0 -0.104 -0.109 -0.125 0 0 0 0 -0.204 0 0 0 0 0 0 0 0 0 0 -0.32 0 -0.101 -0.126 0 0 0.291 -0.177 0 -0.119 0 -0.106 0 -0.114 0 -0.341 -0.142 0 0 0 -0.158 0 -0.103 0 0 0 0 0 -0.122 0 0 0 -0.263 0 0 0 0 0 0 0 -0.156 0 0 0 0 0 0 0 -0.152 0 -0.416
"22q" -0.127 0 -0.107 0 -0.134 0 0 -0.139 0 0 0 -0.151 -0.125 -0.165 -0.236 -0.128 0 0 0 0 0 0 -0.104 0 0 0 -0.104 -0.109 -0.125 0 0 0 0 -0.204 0 0.115 0 0 0 0 0 0 0 0 -0.32 0 0 -0.126 0 0 0.291 -0.177 0 -0.119 0 -0.106 0 -0.114 0 -0.341 -0.142 0 0 0 -0.158 0 -0.103 0 0 0 0 0 -0.122 0 0 0 -0.263 0 0 0 0 0 0 0 -0.156 0 0 0 0 0.103 0 0 -0.152 -0.545 -0.416
